time,shangx
2018/3/12 0:00,1
2018/3/12 1:00,1
2018/3/12 2:00,45.695
2018/3/12 3:00,2.914
2018/3/12 4:00,2.914
2018/3/12 5:00,1384.3
2018/3/12 6:00,1520.423
2018/3/12 7:00,4016.217
2018/3/12 8:00,11701.038
2018/3/12 9:00,11130.763
2018/3/12 10:00,31242.475
2018/3/12 11:00,33709.918
2018/3/12 12:00,18928.84
2018/3/12 13:00,19541.401
2018/3/12 14:00,31863.491
2018/3/12 15:00,40261.229
2018/3/12 16:00,27324.976
2018/3/12 17:00,30194.256
2018/3/12 18:00,29214.311
2018/3/12 19:00,34592.926
2018/3/12 20:00,11293.601
2018/3/12 21:00,11015.894
2018/3/12 22:00,7394.971
2018/3/12 23:00,3163.404
2018/3/13 0:00,314.488
2018/3/13 1:00,1
2018/3/13 2:00,1
2018/3/13 3:00,1
2018/3/13 4:00,115.297
2018/3/13 5:00,92.938
2018/3/13 6:00,2.898
2018/3/13 7:00,899.035
2018/3/13 8:00,17105.597
2018/3/13 9:00,21732.592
2018/3/13 10:00,29653.063
2018/3/13 11:00,33949.346
2018/3/13 12:00,23770.838
2018/3/13 13:00,18824.446
2018/3/13 14:00,29774.381
2018/3/13 15:00,24547.306
2018/3/13 16:00,42018.799
2018/3/13 17:00,34305.39
2018/3/13 18:00,29522.966
2018/3/13 19:00,25449.4
2018/3/13 20:00,8333.183
2018/3/13 21:00,15581.797
2018/3/13 22:00,7132.519
2018/3/13 23:00,2511.815
2018/3/14 0:00,162.146
2018/3/14 1:00,3.052
2018/3/14 2:00,440.517
2018/3/14 3:00,496.059
2018/3/14 4:00,17.505
2018/3/14 5:00,1
2018/3/14 6:00,1
2018/3/14 7:00,866.561
2018/3/14 8:00,9317.511
2018/3/14 9:00,10388.636
2018/3/14 10:00,27084.175
2018/3/14 11:00,32149.731
2018/3/14 12:00,34430.394
2018/3/14 13:00,16022.796
2018/3/14 14:00,31831.265
2018/3/14 15:00,33312.562
2018/3/14 16:00,30367.264
2018/3/14 17:00,35152.11
2018/3/14 18:00,33611.765
2018/3/14 19:00,29672.205
2018/3/14 20:00,13693.696
2018/3/14 21:00,7739.417
2018/3/14 22:00,14334.94
2018/3/14 23:00,5768.953
2018/3/15 0:00,7.54
2018/3/15 1:00,19.401
2018/3/15 2:00,1
2018/3/15 3:00,1
2018/3/15 4:00,1
2018/3/15 5:00,34.957
2018/3/15 6:00,1998.68
2018/3/15 7:00,372.981
2018/3/15 8:00,21665.292
2018/3/15 9:00,14918.656
2018/3/15 10:00,48900.391
2018/3/15 11:00,33791.838
2018/3/15 12:00,32494.001
2018/3/15 13:00,13602.651
2018/3/15 14:00,35285.867
2018/3/15 15:00,34598.596
2018/3/15 16:00,46380.864
2018/3/15 17:00,33289.866
2018/3/15 18:00,26017.936
2018/3/15 19:00,38980.372
2018/3/15 20:00,11894.677
2018/3/15 21:00,10279.34
2018/3/15 22:00,7751.18
2018/3/15 23:00,1.91
2018/3/16 0:00,2267.721
2018/3/16 1:00,1
2018/3/16 2:00,1
2018/3/16 3:00,1
2018/3/16 4:00,1.942
2018/3/16 5:00,5.903
2018/3/16 6:00,1
2018/3/16 7:00,703.336
2018/3/16 8:00,15048.936
2018/3/16 9:00,17642.451
2018/3/16 10:00,46246.081
2018/3/16 11:00,41835.872
2018/3/16 12:00,31900.862
2018/3/16 13:00,29391.918
2018/3/16 14:00,61823.451
2018/3/16 15:00,60931.327
2018/3/16 16:00,50503.497
2018/3/16 17:00,48403.33
2018/3/16 18:00,58200.886
2018/3/16 19:00,65655.87
2018/3/16 20:00,17122.843
2018/3/16 21:00,15709.879
2018/3/16 22:00,14001.343
2018/3/16 23:00,6254.436
2018/3/17 0:00,26.22
2018/3/17 1:00,6759.717
2018/3/17 2:00,1204.359
2018/3/17 3:00,44.115
2018/3/17 4:00,70.674
2018/3/17 5:00,27.545
2018/3/17 6:00,29.347
2018/3/17 7:00,1746.879
2018/3/17 8:00,31168.146
2018/3/17 9:00,25194.576
2018/3/17 10:00,38148.499
2018/3/17 11:00,26846.816
2018/3/17 12:00,32606.646
2018/3/17 13:00,24835.954
2018/3/17 14:00,37096.639
2018/3/17 15:00,33232.277
2018/3/17 16:00,27770.445
2018/3/17 17:00,45903.344
2018/3/17 18:00,39933.631
2018/3/17 19:00,34487.451
2018/3/17 20:00,26685.904
2018/3/17 21:00,7726.643
2018/3/17 22:00,17124.965
2018/3/17 23:00,9754.263
2018/3/18 0:00,325.913
2018/3/18 1:00,1
2018/3/18 2:00,1
2018/3/18 3:00,1
2018/3/18 4:00,1
2018/3/18 5:00,42.269
2018/3/18 6:00,1
2018/3/18 7:00,566.133
2018/3/18 8:00,9479.619
2018/3/18 9:00,22245.189
2018/3/18 10:00,27793.467
2018/3/18 11:00,35220.383
2018/3/18 12:00,29024.236
2018/3/18 13:00,18612.367
2018/3/18 14:00,33403.949
2018/3/18 15:00,39696.609
2018/3/18 16:00,39321.184
2018/3/18 17:00,54633.887
2018/3/18 18:00,47174.125
2018/3/18 19:00,50688.269
2018/3/18 20:00,15240.544
2018/3/18 21:00,8546.38
2018/3/18 22:00,11589.301
2018/3/18 23:00,6835.782
2018/3/19 0:00,7984.555
2018/3/19 1:00,295.158
2018/3/19 2:00,749.128
2018/3/19 3:00,1901.592
2018/3/19 4:00,193.874
2018/3/19 5:00,1
2018/3/19 6:00,1
2018/3/19 7:00,445.844
2018/3/19 8:00,8951.615
2018/3/19 9:00,18035.358
2018/3/19 10:00,44649.451
2018/3/19 11:00,49433.811
2018/3/19 12:00,41291.878
2018/3/19 13:00,30026.535
2018/3/19 14:00,33956.514
2018/3/19 15:00,39180.348
2018/3/19 16:00,31321.686
2018/3/19 17:00,30508.06
2018/3/19 18:00,36773.858
2018/3/19 19:00,30212.592
2018/3/19 20:00,16562.758
2018/3/19 21:00,7184.871
2018/3/19 22:00,7896.047
2018/3/19 23:00,2906.115
2018/3/20 0:00,1
2018/3/20 1:00,1
2018/3/20 2:00,1
2018/3/20 3:00,1
2018/3/20 4:00,1
2018/3/20 5:00,3.074
2018/3/20 6:00,1
2018/3/20 7:00,2486.128
2018/3/20 8:00,12049.496
2018/3/20 9:00,31293.062
2018/3/20 10:00,45004.436
2018/3/20 11:00,31590.126
2018/3/20 12:00,27868.268
2018/3/20 13:00,17955.685
2018/3/20 14:00,32099.119
2018/3/20 15:00,29426.263
2018/3/20 16:00,27656.371
2018/3/20 17:00,29155.882
2018/3/20 18:00,38685.17
2018/3/20 19:00,29198.712
2018/3/20 20:00,11093.767
2018/3/20 21:00,3927.003
2018/3/20 22:00,5904.286
2018/3/20 23:00,3092.469
2018/3/21 0:00,1
2018/3/21 1:00,1
2018/3/21 2:00,1
2018/3/21 3:00,1
2018/3/21 4:00,1
2018/3/21 5:00,32.978
2018/3/21 6:00,1
2018/3/21 7:00,496.615
2018/3/21 8:00,19237.59
2018/3/21 9:00,15483.516
2018/3/21 10:00,40048.674
2018/3/21 11:00,27624.64
2018/3/21 12:00,32888.685
2018/3/21 13:00,15151.319
2018/3/21 14:00,38019.114
2018/3/21 15:00,35180.998
2018/3/21 16:00,28115.12
2018/3/21 17:00,26372.17
2018/3/21 18:00,30352.538
2018/3/21 19:00,43303.391
2018/3/21 20:00,9972.284
2018/3/21 21:00,4732.679
2018/3/21 22:00,8403.014
2018/3/21 23:00,22656.616
2018/3/22 0:00,1
2018/3/22 1:00,41.192
2018/3/22 2:00,675.81
2018/3/22 3:00,895.349
2018/3/22 4:00,1
2018/3/22 5:00,1
2018/3/22 6:00,1
2018/3/22 7:00,383.208
2018/3/22 8:00,15687.181
2018/3/22 9:00,16728.53
2018/3/22 10:00,34697.059
2018/3/22 11:00,28291.881
2018/3/22 12:00,22643.225
2018/3/22 13:00,17478.625
2018/3/22 14:00,32574.113
2018/3/22 15:00,42430.453
2018/3/22 16:00,33086.768
2018/3/22 17:00,31252.58
2018/3/22 18:00,33748.092
2018/3/22 19:00,33961.948
2018/3/22 20:00,18142.703
2018/3/22 21:00,5163.893
2018/3/22 22:00,6794.088
2018/3/22 23:00,3064.506